Product Name,Product Price,Ratings&Reviews
"Nothing Phone (2a) 5G (White, 256 GB)","₹27,999",6320 & 623
"Nothing Phone (2a) 5G (Black, 256 GB)","₹27,999",6320 & 623
"Nothing Phone (2a) 5G (Black, 256 GB)","₹25,999",41331 & 4142
"Nothing Phone (2a) 5G (White, 256 GB)","₹25,999",41331 & 4142
"Nothing Phone (2a) 5G (Black, 128 GB)","₹23,999",41331 & 4142
"Nothing Phone (2a) 5G (White, 128 GB)","₹23,999",41331 & 4142
"Nothing Phone (2a) 5G (Blue, 256 GB)","₹27,999",6320 & 623
"Nothing Phone (2a) 5G (Blue, 256 GB)","₹25,999",41331 & 4142
"Nothing Phone (2a) 5G (Blue, 128 GB)","₹23,999",41331 & 4142
"Nothing Phone (2a) 5G (Special Edition, 256 GB)","₹27,999",6320 & 623
"Nothing Phone (2) (White, 256 GB)","₹38,999",18323 & 2118
"Nothing Phone (2) (Dark Grey, 256 GB)","₹38,999",18323 & 2118
"Nothing Phone (2a) Plus (Grey, 256 GB)","₹29,999",54 & 1
"Nothing Phone (2a) Plus (Black, 256 GB)","₹27,999",106 & 4
"Nothing Phone (2a) Plus (Grey, 256 GB)","₹27,999",106 & 4
"Nothing Phone (2a) Plus (Black, 256 GB)","₹29,999",54 & 1
"CMF by Nothing Phone 1 (Black, 128 GB)","₹17,999",3016 & 276
"CMF by Nothing Phone 1 (Orange, 128 GB)","₹17,999",3016 & 276
"CMF by Nothing Phone 1 (Light Green, 128 GB)","₹17,999",3016 & 276
"CMF by Nothing Phone 1 (Blue, 128 GB)","₹15,999",10426 & 1029
"CMF by Nothing Phone 1 (Blue, 128 GB)","₹17,999",3016 & 276
"CMF by Nothing Phone 1 (Black, 128 GB)","₹15,999",10426 & 1029
"CMF by Nothing Phone 1 (Light Green, 128 GB)","₹15,999",10426 & 1029
"CMF by Nothing Phone 1 (Orange, 128 GB)","₹15,999",10426 & 1029
